Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6655379004949206,0.6735147140477512,0.6354112100576218,0.6539083557951483,0.7254138428008046
Decision Tree,0.8590778848658505,0.8362831858407079,0.891042430591933,0.8627948262744104,0.8592517852441529
Random Forest,0.9195102891377963,0.8976143141153081,0.9460450497642745,0.9211935730680949,0.9747453431658601
XGBoost,0.8335504037509768,0.7992459943449576,0.8884232582503929,0.8414785413048871,0.9089239137220202
